DateTime,Entries,UniqueIPs
1507567712,70041,83075
1507568680,70048,83091
1507569613,70076,83130
1507570591,70087,83144
1507571534,70105,83158
1507572747,70112,83167
1507573693,70128,83179
1507574661,70133,83190
1507575628,70133,83200
1507576589,70164,83228
1507577549,70196,83260
1507578501,70161,83203
1507580729,70224,83274
1507581852,70238,83301
1507582833,70267,83346
1507583781,70277,83367
1507584759,70317,83431
1507585712,70324,83452
1507586680,70331,83471
1507587617,70339,83497
1507588597,70363,83530
1507589536,70374,83546
1507590521,70393,83571
1507591455,70433,83613
1507592430,70437,83611
1507593389,70463,83645
1507594347,70449,83646
1507595309,70471,83682
1507596262,70471,83693
1507597231,70492,83713
1507598211,70492,83722
1507599136,70510,83742
1507600110,70513,83748
1507601068,70519,83753
1507602020,70537,83775
1507602983,70539,83784
1507603948,70563,83812
1507604909,70574,83828
1507605859,70589,83843
1507606812,70599,83857
1507607800,70608,83873
1507608739,70616,83887
1507609725,70630,83915
1507610658,70641,83936
1507611650,70668,83968
1507612580,70677,83981
1507613552,70678,83984
1507614494,70698,84005
1507615479,70716,84035
1507616426,70727,84046
1507617380,70747,84059
1507618351,70775,84092
1507619301,70755,84085
1507620256,70728,84053
1507621239,70675,84002
1507622172,70613,83920
1507623151,70604,83912
1507624093,70552,83844
1507625070,70517,83809
1507626027,70491,83785
1507626993,70470,83768
1507628204,70317,83575
1507629142,70258,83513
1507630097,70316,83587
1507631075,70055,83285
1507632025,70121,83357
1507632989,69947,83146
1507633947,70020,83230
1507634905,69765,82931
1507636852,69626,82743
1507637780,69755,82897
1507638759,69718,82842
1507639700,69776,82901
1507640681,69979,83119
1507641627,69869,82980
1507642583,69934,83053
1507643545,69897,82987
1507644500,69945,83039
1507645454,69878,82952
1507646439,69821,82878
1507647376,69813,82868
1507648363,69786,82822
1507649295,69789,82825
1507650273,69689,82706
1507651234,69639,82636
1507652192,69604,82586
1507654099,69593,82573
1507655083,69571,82537
1507656035,69531,82482
1507656975,69516,82464
1507657958,69474,82414
1507658895,69426,82353
1507661115,69436,82355
1507662039,69395,82305
1507662985,69369,82266
1507663959,69318,82203
1507664903,69282,82155
1507665882,69268,82127
1507666826,69245,82083
1507667799,69248,82069
1507668747,69223,82024
1507669713,69192,81983
1507670660,69189,81957
1507671622,69144,81876
1507672587,69125,81844
1507673562,69052,81748
1507674619,69037,81715
1507675712,69024,81690
1507676663,69003,81645
1507677637,68994,81628
1507678584,68975,81594
1507679540,68940,81542
1507680500,68851,81435
1507681471,68801,81373
1507682423,68775,81350
1507683384,68751,81310
1507684365,68717,81267
1507685298,68685,81219
1507686264,68648,81170
1507687228,68642,81154
1507688191,68599,81087
1507689179,68585,81050
1507690102,68553,81010
1507691079,68525,80973
1507692026,68496,80943
1507692986,68464,80903
1507693946,68418,80850
1507694898,68428,80856
1507695883,68404,80822
1507696840,68427,80839
1507697788,68408,80806
1507698746,68403,80806
1507699708,68396,80794
1507700662,68357,80749
1507701636,68378,80768
1507702580,68326,80701
1507703581,68179,80528
1507704504,68057,80389
1507705467,67986,80299
1507706436,67965,80266
1507707377,67932,80229
1507708360,67891,80169
1507709296,67875,80145
1507710258,67842,80098
1507711228,67805,80056
1507712198,67836,80071
1507713147,67813,80039
1507714097,67770,79985
1507715068,67760,79957
1507716056,67723,79895
1507716982,67697,79858
1507717956,67671,79823
1507718897,67632,79774
1507719865,67609,79755
1507720826,67585,79710
1507721778,67648,79783
1507722757,67655,79790
1507723735,67649,79781
1507724677,67610,79740
1507725626,67594,79715
1507726590,67578,79684
1507727567,67570,79661
1507728504,67560,79643
1507729468,67542,79612
1507730437,67494,79563
1507731407,67526,79604
1507732349,67565,79689
1507733308,67554,79681
1507734282,67639,79795
1507735238,67624,79779
1507736176,67719,79902
1507737400,67702,79902
1507738345,67725,79951
1507739561,67803,80040
1507740495,67835,80072
1507741494,67871,80132
1507742426,67903,80182
1507743403,67953,80246
1507744348,67982,80298
1507745324,68038,80359
1507747768,68110,80438
1507748915,68102,80437
1507749854,68104,80442
1507750834,68089,80420
1507751772,68099,80459
1507752749,68159,80542
1507753702,68218,80614
1507754670,68258,80649
1507755620,68296,80702
1507756592,68307,80725
1507757551,68370,80811
1507758496,68399,80850
1507759464,68449,80925
1507760425,68464,80957
1507761383,68463,80975
1507762343,68511,81041
1507763330,68532,81076
1507764256,68589,81159
1507765229,68615,81208
1507766175,68728,81352
1507767159,68777,81412
1507768092,68890,81561
1507769083,68943,81628
1507770040,68944,81639
1507771101,68957,81664
1507772180,68982,81705
1507773140,68939,81658
1507774094,68928,81644
1507775066,68964,81707
1507776022,68987,81766
1507776974,69011,81793
1507777954,69053,81849
1507778891,69084,81911
1507779855,69144,82018
1507780838,69316,82250
1507782039,69337,82274
1507782995,69450,82399
1507783944,69456,82413
1507784893,69477,82440
1507785876,69456,82415
1507786823,69367,82321
1507787776,69376,82338
1507788756,69345,82310
1507789701,69451,82452
1507790656,69422,82449
1507791637,69449,82491
1507792582,69493,82563
1507793560,69450,82535
1507794498,69545,82658
1507795464,69588,82714
1507796417,69570,82713
1507797410,69591,82744
1507798332,69631,82801
1507799305,69612,82774
1507800264,69647,82823
1507801217,69667,82868
1507802182,69670,82887
1507803157,69622,82856
1507804095,69723,83021
1507805057,69778,83088
1507806039,69813,83119
1507806977,69903,83243
1507808664,69940,83309
1507809628,69936,83305
1507810590,70001,83382
1507811554,69942,83308
1507812507,69942,83296
1507813463,70004,83373
1507814434,69959,83314
1507815374,69963,83314
1507816333,70017,83374
1507817329,70031,83381
1507818264,70021,83380
1507819227,70033,83396
1507820184,70037,83399
1507821154,70081,83454
1507822091,70107,83479
1507823079,70101,83466
1507825268,70124,83470
1507826174,70187,83544
1507827153,70153,83499
1507828104,70219,83578
1507829081,70175,83509
1507830013,70265,83616
1507830988,70165,83490
1507832185,70190,83511
1507833136,70256,83600
1507834107,70208,83544
1507835072,70230,83552
1507836012,70262,83592
1507837005,70211,83544
1507837935,70248,83586
1507838909,70214,83535
1507839855,70252,83577
1507840840,70259,83590
1507841773,70326,83684
1507842763,70291,83640
1507843690,70343,83706
1507844681,70345,83692
1507845636,70258,83583
1507847009,70314,83655
1507848024,70318,83653
1507848993,70310,83643
1507849948,70323,83656
1507850892,70317,83652
1507851865,70377,83725
1507852829,70361,83695
1507854041,70338,83664
1507854973,70374,83695
1507855964,70409,83733
1507856895,70436,83761
1507857871,70487,83814
1507858827,70514,83842
1507859777,70535,83863
1507860753,70569,83912
1507861692,70593,83942
1507862654,70604,83945
1507863636,70602,83906
1507864577,70489,83768
1507865550,70494,83761
1507866495,70475,83736
1507867473,70476,83743
1507868413,70522,83805
1507869394,70456,83727
1507870341,70466,83727
1507871298,70459,83712
1507872266,70493,83753
1507873227,70496,83748
1507874180,70448,83697
1507875148,70414,83658
1507876102,70460,83711
1507877064,70410,83669
1507878019,70412,83671
1507878989,70400,83663
1507879949,70384,83643
1507880909,70391,83641
1507881867,70362,83614
1507882813,70340,83586
1507883795,70311,83555
1507884734,70292,83528
1507885703,70290,83529
1507886665,70279,83511
1507887612,70294,83532
1507888584,70252,83488
1507889546,70231,83464
1507890493,70219,83468
1507891463,70219,83472
1507892445,70195,83447
1507893376,70185,83449
1507895065,70168,83407
1507896017,70174,83421
1507896994,70179,83418
1507897941,70188,83422
1507898908,70180,83406
1507899863,70167,83400
1507900823,70189,83408
1507901784,70184,83398
1507902736,70151,83372
1507903706,70139,83352
1507904668,70125,83333
1507905612,70109,83322
1507906586,70124,83334
1507907533,70142,83356
1507908515,70123,83332
1507910704,70120,83329
1507911612,70111,83336
1507912594,70097,83330
1507913533,70103,83336
1507914532,70091,83319
1507915455,70114,83349
1507916430,70105,83336
1507917371,70092,83323
1507918594,70126,83371
1507919536,70100,83342
1507920507,70055,83279
1507921474,69935,83136
1507922453,69960,83184
1507923384,69888,83105
1507924338,69885,83096
1507925305,69870,83079
1507926282,69900,83093
1507927212,69904,83097
1507928189,69882,83068
1507929151,69896,83080
1507930109,69889,83065
1507931069,69868,83037
1507932048,69868,83047
1507932995,69829,83007
1507933967,69811,82995
1507934894,69743,82924
1507935888,69756,82938
1507936822,69756,82937
1507937800,69738,82922
1507938733,69690,82854
1507939719,69651,82813
1507940703,69629,82786
1507941623,69634,82793
1507942573,69639,82808
1507944173,69674,82854
1507945578,69687,82872
1507946659,69725,82919
1507947627,69761,82952
1507948595,69730,82932
1507949795,69709,82899
1507950745,69677,82862
1507951652,69629,82798
1507952774,69558,82718
1507954007,69482,82622
1507955181,69467,82609
1507956261,69440,82580
1507957479,69429,82561
1507958420,69409,82541
1507959382,69412,82562
1507960341,69460,82627
1507961561,69571,82745
1507962494,69607,82789
1507963466,69688,82887
1507964425,69712,82906
1507965393,69694,82879
1507966340,69742,82940
1507967308,69723,82930
1507968272,69703,82909
1507969215,69755,82968
1507970199,69723,82922
1507971135,69755,82962
1507972112,69716,82927
1507973059,69751,82969
1507974012,69767,82991
1507974992,69704,82909
1507976197,69725,82939
1507977152,69733,82949
1507978117,69727,82956
1507979150,69750,82982
1507980265,69802,83025
1507981221,69823,83045
